type,m,n,k,transA,transB,alpha,beta,lda,ldb,ldc
s,1728,320,64,1,0,1,1,64,64,1728
s,192,32,1225,1,0,1,1,1225,1225,192
s,192,48,1225,1,0,1,1,1225,1225,192
s,192,64,1225,1,0,1,1,1225,1225,192
s,2048,192,64,1,0,1,1,64,64,2048
s,2048,320,64,1,0,1,1,64,64,2048
s,2048,384,64,1,0,1,1,64,64,2048
s,2048,448,64,1,0,1,1,64,64,2048
s,256,48,1225,1,0,1,1,1225,1225,256
s,256,64,1225,1,0,1,1,1225,1225,256
s,2592,384,289,1,0,1,1,289,289,2592
s,27,32,22201,1,0,1,1,22201,22201,27
s,288,32,21609,1,0,1,1,21609,21609,288
s,288,48,1225,1,0,1,1,1225,1225,288
s,288,64,1225,1,0,1,1,1225,1225,288
s,288,64,21609,1,0,1,1,21609,21609,288
s,4032,384,64,1,0,1,1,64,64,4032
s,576,96,1225,1,0,1,1,1225,1225,576
s,64,80,5329,1,0,1,1,5329,5329,64
s,720,192,5041,1,0,1,1,5041,5041,720
s,768,128,289,1,0,1,1,289,289,768
s,768,160,289,1,0,1,1,289,289,768
s,768,192,289,1,0,1,1,289,289,768
s,864,96,1225,1,0,1,1,1225,1225,864
s,864,96,289,1,0,1,1,289,289,864
s,896,128,289,1,0,1,1,289,289,896
s,896,192,289,1,0,1,1,289,289,896
s,1024,128,289,1,0,1,1,289,289,1024
s,1024,192,289,1,0,1,1,289,289,1024
s,1024,256,289,1,0,1,1,289,289,1024
s,1024,384,289,1,0,1,1,289,289,1024
s,1152,256,64,1,0,1,1,64,64,1152
s,1152,448,64,1,0,1,1,64,64,1152
s,1344,224,289,1,0,1,1,289,289,1344
s,1344,512,64,1,0,1,1,64,64,1344
s,1536,256,64,1,0,1,1,64,64,1536
s,1536,384,64,1,0,1,1,64,64,1536
s,1568,224,289,1,0,1,1,289,289,1568
s,1568,256,289,1,0,1,1,289,289,1568
s,160,64,5329,1,0,1,1,5329,5329,160
s,1728,192,1225,1,0,1,1,1225,1225,1728
s,1728,224,1225,1,0,1,1,1225,1225,1728
s,1792,256,289,1,0,1,1,289,289,1792
s,1792,320,289,1,0,1,1,289,289,1792
s,2016,256,289,1,0,1,1,289,289,2016
s,2880,320,64,1,0,1,1,64,64,2880
s,3456,384,289,1,0,1,1,289,289,3456
s,384,192,1225,1,0,1,1,1225,1225,384
s,384,64,1225,1,0,1,1,1225,1225,384
s,384,96,1225,1,0,1,1,1225,1225,384
s,448,64,5329,1,0,1,1,5329,5329,448
s,576,96,5041,1,0,1,1,5041,5041,576
s,576,96,5329,1,0,1,1,5329,5329,576
s,1024,2048,49,1,0,1,1,49,49,1024
s,1024,256,196,1,0,1,1,196,196,1024
s,1024,512,49,1,0,1,1,49,49,1024
s,1152,128,784,1,0,1,1,784,784,1152
s,128,512,784,1,0,1,1,784,784,128
s,2048,512,49,1,0,1,1,49,49,2048
s,2304,256,196,1,0,1,1,196,196,2304
s,256,1024,196,1,0,1,1,196,196,256
s,256,512,784,1,0,1,1,784,784,256
s,256,64,3136,1,0,1,1,3136,3136,256
s,4608,512,49,1,0,1,1,49,49,4608
s,512,1024,196,1,0,1,1,196,196,512
s,512,128,784,1,0,1,1,784,784,512
s,512,2048,49,1,0,1,1,49,49,512
s,512,256,196,1,0,1,1,196,196,512
s,576,64,3136,1,0,1,1,3136,3136,576
s,64,256,3136,1,0,1,1,3136,3136,64
